date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2022-10-01,Werder Bremen,Borussia M.Gladbach,3.345,2.273,5,1,3.34501,2.27257,11.096774193548388,14.35
2022-10-02,Hertha Berlin,Hoffenheim,0.959,1.601,1,1,0.958712,1.60101,15.31578947368421,9.45
2022-10-02,Schalke 04,Augsburg,2.059,1.484,2,3,2.0592,1.48391,8.133333333333333,9.764705882352942
2022-10-07,Hoffenheim,Werder Bremen,1.301,1.438,1,2,1.30088,0.680235,13.588235294117647,9.083333333333334
2022-10-08,Bayer Leverkusen,Schalke 04,2.069,0.14,4,0,2.06947,0.139609,10.545454545454545,11.294117647058824
2022-10-08,Mainz 05,RasenBallsport Leipzig,0.65,1.47,1,1,0.649518,1.4696,15.041666666666666,10.5
2022-10-08,Bochum,Eintracht Frankfurt,0.65,0.784,3,0,0.649959,0.78428,8.26923076923077,8.263157894736842
2022-10-08,Augsburg,Wolfsburg,2.016,2.307,1,1,2.01628,2.30655,7.8,10.416666666666666
2022-10-08,Borussia Dortmund,Bayern Munich,1.429,1.229,2,2,1.42928,1.22934,15.826086956521738,8.866666666666667
2022-10-09,Borussia M.Gladbach,FC Cologne,2.727,1.456,5,2,1.96881,0.698391,16.083333333333332,18.863636363636363
2022-10-09,Hertha Berlin,Freiburg,1.259,1.759,2,2,0.501118,1.75899,9.862068965517242,6.6923076923076925
2022-10-09,VfB Stuttgart,Union Berlin,1.097,0.734,0,1,1.09713,0.73441,14.5,19.714285714285715
2022-10-14,Schalke 04,Hoffenheim,0.698,3.517,0,3,0.697562,2.00144,7.413793103448276,19.90909090909091
2022-10-15,Eintracht Frankfurt,Bayer Leverkusen,4.358,0.503,5,1,2.84206,0.503272,16.636363636363637,39.875
2022-10-15,Wolfsburg,Borussia M.Gladbach,1.744,0.895,2,2,1.74427,0.895157,13.38888888888889,16.88888888888889
2022-10-15,VfB Stuttgart,Bochum,2.408,1.528,4,1,1.64998,1.52762,14.0,7.92
2022-10-15,Werder Bremen,Mainz 05,1.203,1.108,0,2,1.20268,1.10835,9.714285714285714,24.166666666666668
2022-10-15,RasenBallsport Leipzig,Hertha Berlin,3.302,2.422,3,2,3.30191,1.66374,6.535714285714286,18.733333333333334
2022-10-16,FC Cologne,Augsburg,1.546,0.208,3,2,1.54576,0.207517,6.6875,10.210526315789474
2022-10-16,Union Berlin,Borussia Dortmund,1.472,0.798,2,0,1.47199,0.797656,27.5,6.928571428571429
2022-10-16,Bayern Munich,Freiburg,2.08,0.328,5,0,2.07998,0.328313,14.5,16.956521739130434
2022-10-21,Mainz 05,FC Cologne,2.218,0.931,5,0,1.46009,0.930558,10.666666666666666,15.4
2022-10-22,Borussia Dortmund,VfB Stuttgart,2.639,0.99,5,0,2.63936,0.989781,9.16,20.058823529411764
2022-10-22,Bayer Leverkusen,Wolfsburg,2.367,1.151,2,2,1.60969,0.393154,12.4,14.736842105263158
2022-10-22,Freiburg,Werder Bremen,3.337,0.394,2,0,2.57917,0.393506,8.764705882352942,8.136363636363637
2022-10-22,Hoffenheim,Bayern Munich,0.766,3.128,0,2,0.766181,3.12799,10.884615384615385,8.65
2022-10-22,Augsburg,RasenBallsport Leipzig,1.913,2.39,3,3,1.15483,2.38989,13.095238095238095,8.777777777777779
2022-10-22,Borussia M.Gladbach,Eintracht Frankfurt,1.365,1.802,1,3,1.36544,1.80175,11.31578947368421,9.9
2022-10-23,Bochum,Union Berlin,1.115,1.003,2,1,1.11544,0.245332,10.095238095238095,12.066666666666666
2022-10-23,Hertha Berlin,Schalke 04,1.058,0.523,2,1,1.05778,0.522522,6.769230769230769,10.55
2022-10-28,Werder Bremen,Hertha Berlin,1.54,0.572,1,0,1.53976,0.572257,10.473684210526315,11.15
2022-10-29,Bayern Munich,Mainz 05,4.334,1.781,6,2,3.43354,1.02336,6.590909090909091,25.785714285714285
2022-10-29,RasenBallsport Leipzig,Bayer Leverkusen,1.632,0.142,2,0,1.63234,0.141987,16.88,25.384615384615383
2022-10-29,Wolfsburg,Bochum,2.589,0.444,4,0,2.58922,0.444056,11.823529411764707,10.5
2022-10-29,VfB Stuttgart,Augsburg,3.121,0.755,2,1,3.12054,0.754506,15.375,15.0
