date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2022-01-03,Manchester United,Wolverhampton Wanderers,0.769,0.841,0,1
2022-01-11,Southampton,Brentford,1.593,0.621,4,1
2022-01-12,West Ham,Norwich,2.892,0.343,2,0
2022-01-14,Brighton,Crystal Palace,2.181,0.51,1,1
2022-01-15,Manchester City,Chelsea,0.902,0.614,1,0
2022-01-15,Newcastle United,Watford,1.039,1.496,1,1
2022-01-15,Norwich,Everton,1.002,0.541,2,1
2022-01-15,Wolverhampton Wanderers,Southampton,2.299,0.917,3,1
2022-01-15,Aston Villa,Manchester United,1.828,1.354,2,2
2022-01-16,Liverpool,Brentford,3.491,0.377,3,0
2022-01-16,West Ham,Leeds,2.355,2.269,2,3
2022-01-18,Brighton,Chelsea,0.748,0.573,1,1
2022-01-19,Leicester,Tottenham,1.95,4.247,2,3
2022-01-19,Brentford,Manchester United,2.081,2.06,1,3
2022-01-21,Watford,Norwich,1.306,0.925,0,3
2022-01-22,Everton,Aston Villa,1.238,0.86,0,1
2022-01-22,Brentford,Wolverhampton Wanderers,0.743,0.218,1,2
2022-01-22,Leeds,Newcastle United,1.13,1.159,0,1
2022-01-22,Manchester United,West Ham,1.759,0.238,1,0
2022-01-22,Southampton,Manchester City,1.002,1.629,1,1
2022-01-23,Arsenal,Burnley,1.355,0.389,0,0
2022-01-23,Crystal Palace,Liverpool,1.626,1.497,1,3
2022-01-23,Leicester,Brighton,1.71,1.197,1,1
2022-01-23,Chelsea,Tottenham,1.042,0.329,2,0
2022-02-05,Burnley,Watford,0.766,0.934,0,0
2022-02-08,West Ham,Watford,0.905,0.335,1,0
2022-02-08,Newcastle United,Everton,2.687,0.824,3,1
2022-02-08,Burnley,Manchester United,0.773,1.834,1,1
2022-02-09,Norwich,Crystal Palace,0.296,1.229,1,1
2022-02-09,Tottenham,Southampton,1.743,1.733,2,3
2022-02-09,Manchester City,Brentford,1.982,0.461,2,0
2022-02-09,Aston Villa,Leeds,1.501,2.529,3,3
2022-02-10,Wolverhampton Wanderers,Arsenal,0.641,1.452,0,1
2022-02-10,Liverpool,Leicester,2.73,0.545,2,0
2022-02-12,Manchester United,Southampton,2.992,0.677,1,1
2022-02-12,Brentford,Crystal Palace,1.976,0.498,0,0
2022-02-12,Everton,Leeds,2.586,0.243,3,0
2022-02-12,Watford,Brighton,0.533,1.805,0,2
2022-02-12,Norwich,Manchester City,0.357,4.447,0,4
2022-02-13,Burnley,Liverpool,1.161,1.957,0,1
2022-02-13,Newcastle United,Aston Villa,0.528,0.455,1,0
2022-02-13,Tottenham,Wolverhampton Wanderers,0.838,1.87,0,2
2022-02-13,Leicester,West Ham,1.407,0.745,2,2
2022-02-15,Manchester United,Brighton,2.749,1.262,2,0
2022-02-19,West Ham,Newcastle United,0.848,0.933,1,1
2022-02-19,Arsenal,Brentford,1.522,0.641,2,1
2022-02-19,Aston Villa,Watford,1.027,1.821,0,1
2022-02-19,Brighton,Burnley,0.446,0.821,0,3
2022-02-19,Crystal Palace,Chelsea,0.624,1.123,0,1
2022-02-19,Liverpool,Norwich,3.154,0.67,3,1
2022-02-19,Southampton,Everton,2.729,0.2,2,0
2022-02-19,Manchester City,Tottenham,2.318,2.002,2,3
2022-02-20,Leeds,Manchester United,1.745,2.61,2,4
2022-02-20,Wolverhampton Wanderers,Leicester,0.473,1.55,2,1
2022-02-23,Burnley,Tottenham,1.556,0.692,1,0
2022-02-23,Watford,Crystal Palace,1.719,0.818,1,4
2022-02-23,Liverpool,Leeds,5.33,0.142,6,0
2022-02-24,Arsenal,Wolverhampton Wanderers,2.51,1.109,2,1
2022-02-25,Southampton,Norwich,3.089,0.425,2,0
2022-02-26,Leeds,Tottenham,1.896,2.47,0,4
2022-02-26,Brentford,Newcastle United,0.494,2.254,0,2
2022-02-26,Crystal Palace,Burnley,1.038,0.256,1,1
2022-02-26,Manchester United,Watford,2.415,0.437,0,0
2022-02-26,Brighton,Aston Villa,0.627,1.303,0,2
2022-02-26,Everton,Manchester City,0.771,1.934,0,1
2022-02-27,West Ham,Wolverhampton Wanderers,1.622,0.892,1,0
2022-03-01,Burnley,Leicester,1.042,1.796,0,2
2022-03-05,Leicester,Leeds,0.359,2.144,1,0
2022-03-05,Aston Villa,Southampton,2.854,1.329,4,0
2022-03-05,Burnley,Chelsea,0.849,2.287,0,4
2022-03-05,Newcastle United,Brighton,1.58,1.65,2,1
2022-03-05,Norwich,Brentford,0.773,2.221,1,3
2022-03-05,Wolverhampton Wanderers,Crystal Palace,0.711,2.538,0,2
2022-03-05,Liverpool,West Ham,2.189,1.338,1,0
2022-03-06,Watford,Arsenal,1.296,1.005,2,3
2022-03-06,Manchester City,Manchester United,2.744,0.362,4,1
2022-03-07,Tottenham,Everton,3.243,0.208,5,0
2022-03-10,Wolverhampton Wanderers,Watford,1.55,0.499,4,0
2022-03-10,Southampton,Newcastle United,1.798,0.812,1,2
2022-03-10,Norwich,Chelsea,0.966,2.131,1,3
2022-03-10,Leeds,Aston Villa,0.194,1.273,0,3
2022-03-12,Brighton,Liverpool,0.629,2.483,0,2
2022-03-12,Brentford,Burnley,1.82,0.825,2,0
2022-03-12,Manchester United,Tottenham,1.018,1.624,3,2
2022-03-13,Chelsea,Newcastle United,1.071,0.246,1,0
2022-03-13,Everton,Wolverhampton Wanderers,0.397,0.712,0,1
2022-03-13,Leeds,Norwich,3.118,1.401,2,1
2022-03-13,Southampton,Watford,1.257,1.294,1,2
2022-03-13,West Ham,Aston Villa,1.585,1.054,2,1
2022-03-13,Arsenal,Leicester,2.937,0.549,2,0
