date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2021-12-05,Borussia M.Gladbach,Freiburg,1.076,2.708,0,6
2021-12-10,FC Cologne,Augsburg,1.159,1.176,0,2
2021-12-11,Bochum,Borussia Dortmund,0.966,2.683,1,1
2021-12-11,Hertha Berlin,Arminia Bielefeld,2.238,0.455,2,0
2021-12-11,Freiburg,Hoffenheim,2.252,1.505,1,2
2021-12-11,RasenBallsport Leipzig,Borussia M.Gladbach,4.803,0.847,4,1
2021-12-11,Bayern Munich,Mainz 05,1.786,0.873,2,1
2021-12-11,Wolfsburg,VfB Stuttgart,1.47,1.533,0,2
2021-12-12,Greuther Fuerth,Union Berlin,0.68,1.837,1,0
2021-12-12,Eintracht Frankfurt,Bayer Leverkusen,1.444,1.601,5,2
2021-12-14,VfB Stuttgart,Bayern Munich,1.047,4.981,0,5
2021-12-14,Arminia Bielefeld,Bochum,0.643,0.748,2,0
2021-12-14,Mainz 05,Hertha Berlin,3.106,0.393,4,0
2021-12-14,Wolfsburg,FC Cologne,2.427,3.147,2,3
2021-12-15,Borussia M.Gladbach,Eintracht Frankfurt,2.23,2.503,2,3
2021-12-15,Augsburg,RasenBallsport Leipzig,1.567,3.083,1,1
2021-12-15,Union Berlin,Freiburg,2.25,1.225,0,0
2021-12-15,Bayer Leverkusen,Hoffenheim,2.426,1.681,2,2
2021-12-15,Borussia Dortmund,Greuther Fuerth,1.916,0.379,3,0
2021-12-17,Bayern Munich,Wolfsburg,4.313,1.416,4,0
2021-12-18,Greuther Fuerth,Augsburg,0.09,1.485,0,0
2021-12-18,Bochum,Union Berlin,1.042,1.0,0,1
2021-12-18,Hoffenheim,Borussia M.Gladbach,2.244,1.625,1,1
2021-12-18,Eintracht Frankfurt,Mainz 05,1.528,0.832,1,0
2021-12-18,RasenBallsport Leipzig,Arminia Bielefeld,1.645,1.335,0,2
2021-12-18,Hertha Berlin,Borussia Dortmund,1.616,1.573,3,2
2021-12-19,Freiburg,Bayer Leverkusen,2.079,0.819,2,1
2021-12-19,FC Cologne,VfB Stuttgart,1.358,0.334,1,0
2022-01-07,Bayern Munich,Borussia M.Gladbach,1.356,1.511,1,2
2022-01-08,Greuther Fuerth,VfB Stuttgart,1.124,1.627,0,0
2022-01-08,Hoffenheim,Augsburg,2.762,0.75,3,1
2022-01-08,Freiburg,Arminia Bielefeld,2.204,1.115,2,2
2022-01-08,Bayer Leverkusen,Union Berlin,2.205,3.042,2,2
2022-01-08,RasenBallsport Leipzig,Mainz 05,3.554,0.32,4,1
2022-01-08,Eintracht Frankfurt,Borussia Dortmund,1.778,2.382,2,3
2022-01-09,Hertha Berlin,FC Cologne,0.792,2.47,1,3
2022-01-09,Bochum,Wolfsburg,1.573,0.4,1,0
2022-01-14,Borussia Dortmund,Freiburg,2.428,1.048,5,1
2022-01-15,FC Cologne,Bayern Munich,1.031,3.873,0,4
2022-01-15,Mainz 05,Bochum,1.603,1.326,1,0
2022-01-15,VfB Stuttgart,RasenBallsport Leipzig,1.188,1.601,0,2
2022-01-15,Union Berlin,Hoffenheim,1.767,0.615,2,1
2022-01-15,Wolfsburg,Hertha Berlin,1.802,0.314,0,0
2022-01-15,Borussia M.Gladbach,Bayer Leverkusen,1.445,6.497,1,2
2022-01-16,Augsburg,Eintracht Frankfurt,0.835,2.147,1,1
2022-01-16,Arminia Bielefeld,Greuther Fuerth,0.535,0.551,2,2
2022-01-21,Eintracht Frankfurt,Arminia Bielefeld,1.45,1.561,0,2
2022-01-22,Greuther Fuerth,Mainz 05,1.294,1.408,2,1
2022-01-22,Hoffenheim,Borussia Dortmund,1.162,1.336,2,3
2022-01-22,Freiburg,VfB Stuttgart,1.582,0.222,2,0
2022-01-22,Borussia M.Gladbach,Union Berlin,1.299,1.305,1,2
2022-01-22,Bayer Leverkusen,Augsburg,3.519,1.213,5,1
2022-01-22,Bochum,FC Cologne,1.779,1.543,2,2
2022-01-23,RasenBallsport Leipzig,Wolfsburg,1.694,0.871,2,0
2022-01-23,Hertha Berlin,Bayern Munich,0.848,5.185,1,4
2022-02-04,Hertha Berlin,Bochum,0.444,0.993,1,1
2022-02-05,FC Cologne,Freiburg,1.096,0.684,1,0
2022-02-05,Arminia Bielefeld,Borussia M.Gladbach,0.597,1.484,1,1
2022-02-05,Augsburg,Union Berlin,1.832,2.097,2,0
2022-02-05,Mainz 05,Hoffenheim,1.779,1.318,2,0
2022-02-05,VfB Stuttgart,Eintracht Frankfurt,2.12,0.842,2,3
2022-02-05,Bayern Munich,RasenBallsport Leipzig,3.033,2.657,3,2
2022-02-06,Borussia Dortmund,Bayer Leverkusen,1.603,1.813,2,5
2022-02-06,Wolfsburg,Greuther Fuerth,2.064,1.104,4,1
2022-02-11,RasenBallsport Leipzig,FC Cologne,0.85,0.795,3,1
2022-02-12,Greuther Fuerth,Hertha Berlin,2.696,1.845,2,1
2022-02-12,Bochum,Bayern Munich,1.348,1.871,4,2
2022-02-12,Freiburg,Mainz 05,1.691,3.158,1,1
2022-02-12,Borussia M.Gladbach,Augsburg,3.031,1.628,3,2
2022-02-12,Eintracht Frankfurt,Wolfsburg,0.879,1.62,0,2
2022-02-12,Bayer Leverkusen,VfB Stuttgart,2.419,1.172,4,2
2022-02-13,Union Berlin,Borussia Dortmund,1.471,2.596,0,3
2022-02-13,Hoffenheim,Arminia Bielefeld,4.166,0.652,2,0
2022-02-18,Mainz 05,Bayer Leverkusen,1.006,0.828,3,2
2022-02-19,Arminia Bielefeld,Union Berlin,1.414,0.771,1,0
2022-02-19,Augsburg,Freiburg,0.951,2.561,1,2
2022-02-19,VfB Stuttgart,Bochum,1.375,1.934,1,1
2022-02-19,Wolfsburg,Hoffenheim,1.503,1.071,1,2
2022-02-19,FC Cologne,Eintracht Frankfurt,1.433,0.679,1,0
2022-02-20,Bayern Munich,Greuther Fuerth,2.523,0.661,4,1
2022-02-20,Borussia Dortmund,Borussia M.Gladbach,3.596,0.769,6,0
2022-02-20,Hertha Berlin,RasenBallsport Leipzig,1.092,3.421,1,6
2022-02-25,Hoffenheim,VfB Stuttgart,2.653,1.839,2,1
2022-02-26,Greuther Fuerth,FC Cologne,0.641,0.57,1,1
2022-02-26,Freiburg,Hertha Berlin,3.667,1.546,3,0
2022-02-26,Borussia M.Gladbach,Wolfsburg,2.763,1.27,2,2
2022-02-26,Union Berlin,Mainz 05,0.884,0.759,3,1
2022-02-26,Bayer Leverkusen,Arminia Bielefeld,3.052,0.307,3,0
2022-02-26,Eintracht Frankfurt,Bayern Munich,1.189,2.608,0,1
2022-02-27,Bochum,RasenBallsport Leipzig,0.999,0.613,0,1
2022-02-27,Augsburg,Borussia Dortmund,0.856,0.641,1,1
2022-03-04,Arminia Bielefeld,Augsburg,0.144,0.308,0,1
2022-03-05,Bochum,Greuther Fuerth,1.657,0.579,2,1
2022-03-05,Hertha Berlin,Eintracht Frankfurt,0.483,1.37,1,4
2022-03-05,Wolfsburg,Union Berlin,0.412,1.556,1,0
2022-03-05,RasenBallsport Leipzig,Freiburg,0.754,0.485,1,1
2022-03-05,Bayern Munich,Bayer Leverkusen,1.666,2.264,1,1
2022-03-05,VfB Stuttgart,Borussia M.Gladbach,2.368,1.208,3,2
2022-03-06,FC Cologne,Hoffenheim,1.22,2.873,0,1
2022-03-12,Hoffenheim,Bayern Munich,2.027,3.985,1,1
2022-03-12,Freiburg,Wolfsburg,1.542,0.909,3,2
2022-03-12,Union Berlin,VfB Stuttgart,1.899,1.732,1,1
2022-03-12,Borussia M.Gladbach,Hertha Berlin,1.756,0.443,2,0
2022-03-13,Bayer Leverkusen,FC Cologne,2.401,0.597,0,1
2022-03-13,Eintracht Frankfurt,Bochum,1.553,1.209,2,1
2022-03-13,Borussia Dortmund,Arminia Bielefeld,2.07,0.691,1,0
2022-03-13,Greuther Fuerth,RasenBallsport Leipzig,0.378,2.142,1,6
2022-03-16,Mainz 05,Borussia Dortmund,0.782,1.39,0,1
2022-03-18,Bochum,Borussia M.Gladbach,1.656,0.616,0,2
2022-03-19,Greuther Fuerth,Freiburg,0.781,1.057,0,0
2022-03-19,Hertha Berlin,Hoffenheim,1.763,0.576,3,0
2022-03-19,Mainz 05,Arminia Bielefeld,4.326,0.236,4,0
2022-03-19,VfB Stuttgart,Augsburg,2.183,0.771,3,2
2022-03-19,Bayern Munich,Union Berlin,2.82,1.39,4,0
2022-03-20,RasenBallsport Leipzig,Eintracht Frankfurt,1.06,0.259,0,0
2022-03-20,Wolfsburg,Bayer Leverkusen,1.318,1.439,0,2
2022-03-20,FC Cologne,Borussia Dortmund,1.265,1.04,1,1
2022-04-01,Union Berlin,FC Cologne,1.073,0.221,1,0
2022-04-02,Arminia Bielefeld,VfB Stuttgart,1.01,2.734,1,1
2022-04-02,Hoffenheim,Bochum,1.969,1.702,1,2
2022-04-02,Freiburg,Bayern Munich,0.754,3.156,1,4
2022-04-02,Bayer Leverkusen,Hertha Berlin,1.787,0.872,2,1
2022-04-02,Eintracht Frankfurt,Greuther Fuerth,1.319,0.466,0,0
2022-04-02,Borussia Dortmund,RasenBallsport Leipzig,0.97,1.233,1,4
2022-04-03,Augsburg,Wolfsburg,2.528,1.189,3,0
2022-04-03,Borussia M.Gladbach,Mainz 05,1.552,1.78,1,1
2022-04-06,Augsburg,Mainz 05,1.925,1.846,2,1
2022-04-08,VfB Stuttgart,Borussia Dortmund,2.032,1.496,0,2
2022-04-09,Greuther Fuerth,Borussia M.Gladbach,0.652,3.485,0,2
2022-04-09,FC Cologne,Mainz 05,1.906,0.926,3,2
2022-04-09,Wolfsburg,Arminia Bielefeld,1.991,0.477,4,0
2022-04-09,Bayern Munich,Augsburg,1.431,0.277,1,0
2022-04-09,Hertha Berlin,Union Berlin,0.855,1.854,1,4
2022-04-10,Bochum,Bayer Leverkusen,1.052,1.219,0,0
2022-04-10,Eintracht Frankfurt,Freiburg,1.099,1.461,1,2
2022-04-10,RasenBallsport Leipzig,Hoffenheim,1.611,0.171,3,0
2022-04-16,Augsburg,Hertha Berlin,0.777,1.634,0,1
2022-04-16,Mainz 05,VfB Stuttgart,0.723,0.634,0,0
2022-04-16,Freiburg,Bochum,2.457,0.427,3,0
2022-04-16,Borussia Dortmund,Wolfsburg,3.315,1.96,6,1
2022-04-16,Borussia M.Gladbach,FC Cologne,1.198,3.013,1,3
2022-04-17,Arminia Bielefeld,Bayern Munich,0.463,3.499,0,3
2022-04-17,Hoffenheim,Greuther Fuerth,0.974,0.284,0,0
2022-04-17,Union Berlin,Eintracht Frankfurt,1.32,0.514,2,0
2022-04-17,Bayer Leverkusen,RasenBallsport Leipzig,0.729,0.507,0,1
2022-04-22,Wolfsburg,Mainz 05,3.653,0.614,5,0
2022-04-23,Greuther Fuerth,Bayer Leverkusen,1.183,2.114,1,4
2022-04-23,FC Cologne,Arminia Bielefeld,1.915,0.741,3,1
2022-04-23,Freiburg,Borussia M.Gladbach,2.499,1.521,3,3
2022-04-23,Eintracht Frankfurt,Hoffenheim,1.065,0.757,2,2
2022-04-23,RasenBallsport Leipzig,Union Berlin,0.574,1.936,1,2
2022-04-23,Bayern Munich,Borussia Dortmund,2.023,1.172,3,1
2022-04-24,Bochum,Augsburg,1.187,1.995,0,2
2022-04-24,Hertha Berlin,VfB Stuttgart,0.947,0.452,2,0
2022-04-29,Union Berlin,Greuther Fuerth,0.858,0.237,1,1
2022-04-30,Arminia Bielefeld,Hertha Berlin,0.403,1.662,1,1
2022-04-30,Augsburg,FC Cologne,1.736,3.041,1,4
2022-04-30,Mainz 05,Bayern Munich,3.172,1.236,3,1
2022-04-30,VfB Stuttgart,Wolfsburg,0.827,1.161,1,1
2022-04-30,Borussia Dortmund,Bochum,3.342,1.905,3,4
2022-04-30,Hoffenheim,Freiburg,2.6,2.694,3,4
2022-05-02,Borussia M.Gladbach,RasenBallsport Leipzig,1.57,1.226,3,1
2022-05-02,Bayer Leverkusen,Eintracht Frankfurt,2.175,0.349,2,0
2022-05-06,Bochum,Arminia Bielefeld,2.689,0.845,2,1
2022-05-07,Greuther Fuerth,Borussia Dortmund,1.226,1.127,1,3
2022-05-07,FC Cologne,Wolfsburg,0.975,1.143,0,1
2022-05-07,Hoffenheim,Bayer Leverkusen,2.092,3.934,2,4
2022-05-07,Freiburg,Union Berlin,1.649,2.401,1,4
2022-05-07,Hertha Berlin,Mainz 05,1.111,0.756,1,2
2022-05-08,Eintracht Frankfurt,Borussia M.Gladbach,0.808,2.026,1,1
2022-05-08,Bayern Munich,VfB Stuttgart,2.775,1.958,2,2
2022-05-08,RasenBallsport Leipzig,Augsburg,3.438,0.174,4,0
2022-05-14,Arminia Bielefeld,RasenBallsport Leipzig,1.67,3.458,1,1
2022-05-14,Augsburg,Greuther Fuerth,1.172,0.338,2,1
2022-05-14,Mainz 05,Eintracht Frankfurt,0.85,1.702,2,2
2022-05-14,VfB Stuttgart,FC Cologne,3.837,1.119,2,1
2022-05-14,Borussia M.Gladbach,Hoffenheim,3.828,1.928,5,1
2022-05-14,Union Berlin,Bochum,3.375,0.391,3,2
2022-05-14,Bayer Leverkusen,Freiburg,1.821,1.146,2,1
2022-05-14,Wolfsburg,Bayern Munich,1.141,2.071,2,2
2022-05-14,Borussia Dortmund,Hertha Berlin,1.327,0.877,2,1
