date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2025-01-05,Torino,Parma Calcio 1913,1.086,0.322,0,0
2025-01-05,Roma,Lazio,1.234,1.32,2,0
2025-01-10,Lazio,Como,1.039,1.902,1,1
2025-01-11,Empoli,Lecce,2.315,1.576,1,3
2025-01-11,Udinese,Atalanta,2.052,0.233,0,0
2025-01-11,Torino,Juventus,0.411,0.947,1,1
2025-01-11,AC Milan,Cagliari,2.43,0.309,1,1
2025-01-12,Genoa,Parma Calcio 1913,1.516,0.513,1,0
2025-01-12,Venezia,Inter,0.668,2.353,0,1
2025-01-12,Bologna,Roma,2.289,1.589,2,2
2025-01-12,Napoli,Verona,1.59,0.232,2,0
2025-01-13,Monza,Fiorentina,0.988,1.607,2,1
2025-01-14,Como,AC Milan,1.636,1.441,1,2
2025-01-14,Atalanta,Juventus,1.582,2.28,1,1
2025-01-15,Inter,Bologna,1.794,0.914,2,2
2025-01-17,Roma,Genoa,1.797,0.494,3,1
2025-01-18,Bologna,Monza,2.337,0.411,3,1
2025-01-18,Juventus,AC Milan,1.569,1.178,2,0
2025-01-18,Atalanta,Napoli,0.71,1.254,2,3
2025-01-19,Fiorentina,Torino,1.818,0.54,1,1
2025-01-19,Cagliari,Lecce,3.362,0.388,4,1
2025-01-19,Parma Calcio 1913,Venezia,1.596,1.178,1,1
2025-01-19,Verona,Lazio,1.486,1.994,0,3
2025-01-19,Inter,Empoli,1.64,0.412,3,1
2025-01-20,Como,Udinese,1.819,0.847,4,1
2025-01-24,Torino,Cagliari,2.232,0.271,2,0
2025-01-25,Como,Atalanta,0.704,1.048,1,2
2025-01-25,Napoli,Juventus,2.336,1.025,2,1
2025-01-25,Empoli,Bologna,0.834,0.899,1,1
2025-01-26,AC Milan,Parma Calcio 1913,2.711,1.855,3,2
2025-01-26,Udinese,Roma,0.805,2.617,1,2
2025-01-26,Lecce,Inter,0.719,2.582,0,4
2025-01-26,Lazio,Fiorentina,2.011,1.2,1,2
2025-01-27,Venezia,Verona,0.71,2.172,1,1
2025-01-27,Genoa,Monza,3.317,0.312,2,0
2025-01-31,Parma Calcio 1913,Lecce,2.0,0.757,1,3
2025-02-01,Udinese,Venezia,0.94,1.363,3,2
2025-02-01,Monza,Verona,0.28,0.855,0,1
2025-02-01,Atalanta,Torino,3.351,0.63,1,1
2025-02-01,Bologna,Como,1.681,0.64,2,0
2025-02-02,Juventus,Empoli,2.008,0.949,4,1
2025-02-02,Fiorentina,Genoa,0.695,1.965,2,1
2025-02-02,AC Milan,Inter,1.044,1.983,1,1
2025-02-02,Roma,Napoli,0.365,0.385,1,1
2025-02-03,Cagliari,Lazio,1.829,1.934,1,2
2025-02-06,Fiorentina,Inter,1.053,0.589,3,0
2025-02-07,Como,Juventus,0.936,1.324,1,2
2025-02-08,Empoli,AC Milan,0.669,1.906,0,2
2025-02-08,Verona,Atalanta,1.788,2.148,0,5
2025-02-08,Torino,Genoa,0.647,0.309,1,1
2025-02-09,Cagliari,Parma Calcio 1913,1.496,1.151,2,1
2025-02-09,Lecce,Bologna,0.845,0.851,0,0
2025-02-09,Venezia,Roma,0.905,2.142,0,1
2025-02-09,Lazio,Monza,4.43,0.872,5,1
2025-02-09,Napoli,Udinese,2.079,1.287,1,1
2025-02-10,Inter,Fiorentina,1.875,1.033,2,1
2025-02-14,Bologna,Torino,3.463,1.648,3,2
2025-02-15,Atalanta,Cagliari,0.474,0.123,0,0
2025-02-15,Lazio,Napoli,0.883,0.559,2,2
2025-02-15,AC Milan,Verona,1.875,0.372,1,0
2025-02-16,Fiorentina,Como,0.431,0.875,0,2
2025-02-16,Udinese,Empoli,2.905,2.475,3,0
2025-02-16,Monza,Lecce,0.278,1.109,0,0
2025-02-16,Parma Calcio 1913,Roma,0.293,1.412,0,1
2025-02-16,Juventus,Inter,1.366,2.085,1,0
2025-02-17,Genoa,Venezia,1.6,0.341,2,0
2025-02-21,Lecce,Udinese,0.484,1.524,0,1
2025-02-22,Parma Calcio 1913,Bologna,1.411,0.698,2,0
2025-02-22,Venezia,Lazio,0.996,0.791,0,0
2025-02-22,Torino,AC Milan,0.557,2.184,2,1
2025-02-22,Inter,Genoa,1.399,1.514,1,0
2025-02-23,Como,Napoli,0.467,1.103,2,1
2025-02-23,Verona,Fiorentina,0.451,1.156,1,0
2025-02-23,Empoli,Atalanta,0.776,2.506,0,5
2025-02-23,Cagliari,Juventus,0.226,2.205,0,1
2025-02-24,Roma,Monza,2.162,0.332,4,0
2025-02-27,Bologna,AC Milan,2.32,1.555,2,1
2025-02-28,Fiorentina,Lecce,1.438,1.116,1,0
2025-03-01,Atalanta,Venezia,3.346,0.359,0,0
2025-03-01,Napoli,Inter,1.729,0.453,1,1
2025-03-01,Udinese,Parma Calcio 1913,2.059,0.618,1,0
2025-03-02,Monza,Torino,0.582,1.432,0,2
2025-03-02,Bologna,Cagliari,2.258,0.68,2,1
2025-03-02,Genoa,Empoli,0.23,1.01,1,1
2025-03-02,Roma,Como,1.595,1.296,2,1
2025-03-02,AC Milan,Lazio,1.29,2.531,1,2
2025-03-03,Juventus,Verona,1.975,0.27,2,0
2025-03-07,Cagliari,Genoa,0.81,1.431,1,1
2025-03-08,Como,Venezia,1.273,1.806,1,1
2025-03-08,Parma Calcio 1913,Torino,1.487,0.721,2,2
2025-03-08,Lecce,AC Milan,1.19,3.28,2,3
2025-03-08,Inter,Monza,3.063,0.779,3,2
2025-03-09,Verona,Bologna,1.281,1.382,1,2
2025-03-09,Napoli,Fiorentina,2.938,1.056,2,1
2025-03-09,Empoli,Roma,0.077,2.999,0,1
2025-03-09,Juventus,Atalanta,0.941,3.935,0,4
2025-03-10,Lazio,Udinese,1.015,1.239,1,1
2025-03-14,Genoa,Lecce,1.06,1.205,2,1
2025-03-15,Monza,Parma Calcio 1913,0.931,0.616,1,1
2025-03-15,Udinese,Verona,0.318,0.543,0,1
2025-03-15,AC Milan,Como,1.728,1.355,2,1
2025-03-15,Torino,Empoli,0.701,1.734,1,0
2025-03-16,Venezia,Napoli,1.047,1.266,0,0
2025-03-16,Bologna,Lazio,2.854,0.601,5,0
2025-03-16,Roma,Cagliari,1.611,1.1,1,0
2025-03-16,Fiorentina,Juventus,0.508,0.598,3,0
2025-03-16,Atalanta,Inter,0.682,2.281,0,2
2025-03-29,Como,Empoli,1.937,1.785,1,1
2025-03-29,Venezia,Bologna,0.683,1.296,0,1
2025-03-29,Juventus,Genoa,1.509,0.263,1,0
2025-03-29,Lecce,Roma,0.694,1.908,0,1
2025-03-30,Cagliari,Monza,1.958,0.963,3,0
2025-03-30,Fiorentina,Atalanta,1.927,0.919,1,0
2025-03-30,Inter,Udinese,2.338,1.34,2,1
2025-03-30,Napoli,AC Milan,0.945,2.256,2,1
2025-03-31,Verona,Parma Calcio 1913,0.765,0.501,0,0
2025-03-31,Lazio,Torino,1.938,0.633,1,1
2025-04-04,Genoa,Udinese,1.655,1.111,1,0
2025-04-05,Monza,Como,1.06,2.27,1,3
2025-04-05,Parma Calcio 1913,Inter,1.661,2.179,2,2
2025-04-05,AC Milan,Fiorentina,2.178,3.049,2,2
2025-04-06,Lecce,Venezia,1.501,0.899,1,1
2025-04-06,Empoli,Cagliari,0.387,0.163,0,0
2025-04-06,Torino,Verona,0.964,1.324,1,1
2025-04-06,Atalanta,Lazio,1.04,0.523,0,1
2025-04-06,Roma,Juventus,1.372,0.995,1,1
2025-04-07,Bologna,Napoli,1.11,0.999,1,1
2025-04-11,Udinese,AC Milan,0.645,2.496,0,4
2025-04-12,Venezia,Monza,1.623,0.59,1,0
2025-04-12,Inter,Cagliari,1.716,0.914,3,1
2025-04-12,Juventus,Lecce,1.956,0.94,2,1
2025-04-13,Atalanta,Bologna,1.158,0.547,2,0
2025-04-13,Fiorentina,Parma Calcio 1913,0.671,0.616,0,0
2025-04-13,Verona,Genoa,1.001,0.112,0,0
2025-04-13,Como,Torino,1.231,1.042,1,0
2025-04-13,Lazio,Roma,1.921,0.222,1,1
2025-04-14,Napoli,Empoli,2.137,1.373,3,0
2025-04-19,Lecce,Como,0.667,1.654,0,3
2025-04-19,Monza,Napoli,0.875,1.666,0,1
2025-04-19,Roma,Verona,1.247,0.33,1,0
2025-04-20,Empoli,Venezia,1.147,1.485,2,2
2025-04-20,Bologna,Inter,1.088,0.661,1,0
2025-04-20,AC Milan,Atalanta,0.495,2.078,0,1
2025-04-23,Cagliari,Fiorentina,0.367,0.701,1,2
2025-04-23,Genoa,Lazio,0.471,1.337,0,2
2025-04-23,Parma Calcio 1913,Juventus,0.785,0.777,1,0
2025-04-23,Torino,Udinese,0.949,0.95,2,0
2025-04-27,Como,Genoa,1.804,1.046,1,0
2025-04-27,Venezia,AC Milan,1.006,1.466,0,2
2025-04-27,Fiorentina,Empoli,0.655,0.466,2,1
2025-04-27,Inter,Roma,1.103,2.798,0,1
2025-04-27,Juventus,Monza,1.147,0.622,2,0
2025-04-27,Atalanta,Lecce,2.458,1.454,1,1
2025-04-27,Napoli,Torino,1.233,0.661,2,0
2025-04-28,Udinese,Bologna,0.387,1.177,0,0
2025-04-28,Verona,Cagliari,0.27,1.874,0,2
2025-04-28,Lazio,Parma Calcio 1913,1.777,1.09,2,2
2025-05-02,Torino,Venezia,1.745,1.075,1,1
2025-05-03,Cagliari,Udinese,0.955,1.921,1,2
2025-05-03,Parma Calcio 1913,Como,2.745,1.328,0,1
2025-05-03,Lecce,Napoli,0.277,0.845,0,1
2025-05-03,Inter,Verona,1.599,0.303,1,0
2025-05-04,Empoli,Lazio,0.183,1.127,0,1
2025-05-04,Monza,Atalanta,0.827,3.051,0,4
2025-05-04,Roma,Fiorentina,1.001,0.761,1,0
2025-05-04,Bologna,Juventus,0.39,0.681,1,1
2025-05-05,Genoa,AC Milan,0.548,1.3,1,2
2025-05-09,AC Milan,Bologna,1.553,0.361,3,1
2025-05-10,Como,Cagliari,1.933,1.225,3,1
2025-05-10,Lazio,Juventus,1.511,1.179,1,1
2025-05-10,Empoli,Parma Calcio 1913,0.99,0.405,2,1
2025-05-11,Udinese,Monza,1.458,1.632,1,2
2025-05-11,Verona,Lecce,0.481,1.25,1,1
2025-05-11,Torino,Inter,1.767,2.489,0,2
2025-05-11,Napoli,Genoa,2.352,0.648,2,2
2025-05-12,Venezia,Fiorentina,2.26,0.995,2,1
2025-05-12,Atalanta,Roma,2.875,0.572,2,1
2025-05-18,Genoa,Atalanta,1.441,1.569,2,3
2025-05-18,Cagliari,Venezia,2.751,0.773,3,0
2025-05-18,Fiorentina,Bologna,1.43,1.52,3,2
2025-05-18,Verona,Como,1.554,1.124,1,1
2025-05-18,Inter,Lazio,1.594,2.335,2,2
2025-05-18,Lecce,Torino,0.971,0.476,1,0
2025-05-18,Monza,Empoli,1.032,1.958,1,3
2025-05-18,Parma Calcio 1913,Napoli,0.297,0.38,0,0
2025-05-18,Roma,AC Milan,1.577,1.786,3,1
2025-05-18,Juventus,Udinese,2.614,0.359,2,0
2025-05-23,Como,Inter,1.49,2.278,0,2
2025-05-23,Napoli,Cagliari,2.161,0.097,2,0
2025-05-24,Bologna,Genoa,0.628,1.173,1,3
2025-05-24,AC Milan,Monza,1.993,0.517,2,0
2025-05-25,Venezia,Juventus,1.013,1.669,2,3
2025-05-25,Atalanta,Parma Calcio 1913,1.903,2.825,2,3
2025-05-25,Empoli,Verona,1.234,0.834,1,2
2025-05-25,Lazio,Lecce,1.735,0.709,0,1
2025-05-25,Torino,Roma,0.381,2.644,0,2
2025-05-25,Udinese,Fiorentina,1.617,3.065,2,3
