date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2021-09-26,Clermont Foot,Monaco,1.309,1.792,1,3,1.30935,1.79185,14.263157894736842,17.263157894736842
2021-09-26,Marseille,Lens,2.02,2.49,2,3,1.25949,1.7298,13.823529411764707,18.095238095238095
2021-10-01,Lens,Reims,2.364,0.086,2,0,1.60393,0.086376,9.827586206896552,20.80952380952381
2021-10-02,Montpellier,Strasbourg,1.057,0.294,1,1,1.05711,0.293859,8.96551724137931,13.043478260869565
2021-10-02,Nice,Brest,4.368,0.315,2,1,4.36782,0.31524,9.631578947368421,28.333333333333332
2021-10-03,Rennes,Paris Saint Germain,0.878,1.398,2,0,0.878199,1.39782,14.285714285714286,8.666666666666666
2021-10-03,Angers,Metz,2.814,0.895,3,2,2.81377,0.895212,10.444444444444445,27.357142857142858
2021-10-03,Lorient,Clermont Foot,0.585,0.775,1,1,0.585194,0.774714,11.21875,9.708333333333334
2021-10-03,Monaco,Bordeaux,1.727,0.575,3,0,0.96661,0.574838,8.814814814814815,14.470588235294118
2021-10-03,Nantes,Troyes,1.71,1.647,2,0,0.95032,1.64687,6.0,11.782608695652174
2021-10-03,Lille,Marseille,3.523,0.564,2,0,3.52308,0.563626,14.208333333333334,9.777777777777779
2021-10-03,Saint-Etienne,Lyon,2.478,1.348,1,1,1.71817,1.34812,11.0,5.8125
2021-10-15,Paris Saint Germain,Angers,2.49,1.159,2,1,1.72987,1.15895,5.0,21.88888888888889
2021-10-16,Clermont Foot,Lille,0.403,0.607,1,0,0.403245,0.607051,16.05,10.545454545454545
2021-10-16,Lyon,Monaco,2.817,0.515,2,0,2.05702,0.514906,10.2,16.96153846153846
2021-10-17,Troyes,Nice,1.422,0.513,1,0,1.42208,0.513333,17.7,6.033333333333333
2021-10-17,Bordeaux,Nantes,0.674,1.279,1,1,0.673783,1.27892,11.642857142857142,10.466666666666667
2021-10-17,Brest,Reims,0.508,1.039,1,1,0.508125,1.03949,7.137931034482759,10.952380952380953
2021-10-17,Metz,Rennes,0.973,3.36,0,3,0.97348,3.36021,30.0,11.88888888888889
2021-10-17,Strasbourg,Saint-Etienne,2.711,0.931,5,1,2.71053,0.170952,15.722222222222221,11.91304347826087
2021-10-17,Montpellier,Lens,1.625,1.19,1,0,1.62492,1.19027,17.083333333333332,8.037037037037036
2021-10-17,Marseille,Lorient,1.708,2.092,4,1,1.70821,1.33236,8.652173913043478,20.88888888888889
2021-10-22,Saint-Etienne,Angers,1.504,0.675,2,2,1.50388,0.675033,5.428571428571429,10.892857142857142
2021-10-23,Nantes,Clermont Foot,1.071,0.736,2,1,1.07124,0.735892,11.5,18.857142857142858
2021-10-23,Lille,Brest,1.679,1.142,1,1,1.6786,1.14162,7.619047619047619,17.57894736842105
2021-10-24,Nice,Lyon,1.996,1.417,3,2,1.23641,1.41733,14.84,11.375
2021-10-24,Lens,Metz,2.372,0.79,4,1,2.37156,0.790081,9.307692307692308,17.555555555555557
2021-10-24,Lorient,Bordeaux,1.784,1.065,1,1,1.78373,1.06479,12.681818181818182,12.782608695652174
2021-10-24,Reims,Troyes,1.022,0.675,1,2,1.02175,0.675059,9.2,11.272727272727273
2021-10-24,Rennes,Strasbourg,1.358,1.026,1,0,1.35771,1.02588,14.333333333333334,15.363636363636363
2021-10-24,Monaco,Montpellier,2.119,1.168,3,1,2.11858,0.408312,7.6,19.05
2021-10-24,Marseille,Paris Saint Germain,1.292,2.052,0,0,1.29195,2.0521,19.0,15.789473684210526
