date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2022-11-11,Lyon,Nice,1.156,1.711,1,1
2022-11-12,Lens,Clermont Foot,1.424,0.213,2,1
2022-11-12,Rennes,Toulouse,1.948,1.117,2,1
2022-11-13,Paris Saint Germain,Auxerre,2.223,0.603,5,0
2022-11-13,Nantes,Ajaccio,0.983,2.409,2,2
2022-11-13,Lille,Angers,1.076,0.448,1,0
2022-11-13,Montpellier,Reims,2.075,2.126,1,1
2022-11-13,Brest,Troyes,2.211,0.444,2,1
2022-11-13,Strasbourg,Lorient,1.849,0.878,1,1
2022-11-13,Monaco,Marseille,1.527,2.714,2,3
2022-12-28,Ajaccio,Angers,1.686,2.134,1,0
2022-12-28,Troyes,Nantes,0.203,1.707,0,0
2022-12-28,Auxerre,Monaco,1.33,1.361,2,3
2022-12-28,Clermont Foot,Lille,0.511,1.793,0,2
2022-12-28,Paris Saint Germain,Strasbourg,2.118,1.135,2,1
2022-12-28,Brest,Lyon,1.135,3.185,2,4
2022-12-29,Lorient,Montpellier,1.132,1.999,0,2
2022-12-29,Reims,Rennes,1.372,1.567,3,1
2022-12-29,Nice,Lens,1.196,1.18,0,0
2022-12-29,Marseille,Toulouse,3.908,1.731,6,1
2023-01-01,Monaco,Brest,1.114,0.984,1,0
2023-01-01,Angers,Lorient,2.175,0.44,1,2
2023-01-01,Nantes,Auxerre,0.871,0.941,1,0
2023-01-01,Toulouse,Ajaccio,1.335,0.045,2,0
2023-01-01,Lyon,Clermont Foot,0.736,1.206,0,1
2023-01-01,Lens,Paris Saint Germain,1.798,1.978,3,1
2023-01-02,Strasbourg,Troyes,1.153,1.328,2,3
2023-01-02,Lille,Reims,2.69,1.236,1,1
2023-01-02,Montpellier,Marseille,1.109,1.34,1,2
2023-01-02,Rennes,Nice,1.782,0.396,2,1
2023-01-11,Ajaccio,Reims,0.813,1.163,0,1
2023-01-11,Auxerre,Toulouse,1.199,2.328,0,5
2023-01-11,Clermont Foot,Rennes,1.927,0.901,2,1
2023-01-11,Nantes,Lyon,1.238,0.716,0,0
2023-01-11,Brest,Lille,0.567,0.953,0,0
2023-01-11,Lorient,Monaco,1.407,1.616,2,2
2023-01-11,Nice,Montpellier,3.477,0.226,6,1
2023-01-11,Paris Saint Germain,Angers,1.663,0.341,2,0
2023-01-11,Strasbourg,Lens,1.155,1.5,2,2
2023-01-11,Troyes,Marseille,0.208,2.652,0,2
2023-01-14,Lens,Auxerre,1.695,0.172,1,0
2023-01-14,Marseille,Lorient,2.035,0.492,3,1
2023-01-14,Lyon,Strasbourg,2.468,1.155,1,2
2023-01-15,Lille,Troyes,4.307,0.981,5,1
2023-01-15,Angers,Clermont Foot,0.395,2.106,1,2
2023-01-15,Montpellier,Nantes,1.108,0.904,0,3
2023-01-15,Reims,Nice,0.975,0.671,0,0
2023-01-15,Toulouse,Brest,1.548,0.755,1,1
2023-01-15,Monaco,Ajaccio,4.167,0.216,7,1
2023-01-15,Rennes,Paris Saint Germain,1.063,0.603,1,0
2023-01-27,Lorient,Rennes,0.989,1.942,2,1
2023-01-28,Troyes,Lens,0.937,2.434,1,1
2023-01-28,Marseille,Monaco,1.772,1.552,1,1
2023-01-29,Nice,Lille,1.389,2.07,1,0
2023-01-29,Auxerre,Montpellier,1.785,0.787,0,2
2023-01-29,Clermont Foot,Nantes,0.639,0.125,0,0
2023-01-29,Strasbourg,Toulouse,0.9,2.05,1,2
2023-01-29,Brest,Angers,1.621,1.001,4,0
2023-01-29,Ajaccio,Lyon,1.446,2.027,0,2
2023-01-29,Paris Saint Germain,Reims,1.995,1.633,1,1
2023-02-01,Angers,Ajaccio,0.414,1.187,1,2
2023-02-01,Nantes,Marseille,1.403,1.943,0,2
2023-02-01,Lille,Clermont Foot,1.752,1.536,0,0
2023-02-01,Reims,Lorient,3.614,0.707,4,2
